DATE,RTWEXBGS
2006-01-01,100.0
2006-02-01,100.2661
2006-03-01,100.5432
2006-04-01,100.0548
2006-05-01,97.869
2006-06-01,99.1991
2006-07-01,99.3778
2006-08-01,98.8356
2006-09-01,98.5681
2006-10-01,98.3559
2006-11-01,97.3686
2006-12-01,96.7897
2007-01-01,97.8341
2007-02-01,97.6785
2007-03-01,97.4348
2007-04-01,96.131
2007-05-01,95.4048
2007-06-01,95.1358
2007-07-01,93.7322
2007-08-01,94.0706
2007-09-01,92.8685
2007-10-01,90.7437
2007-11-01,89.6751
2007-12-01,90.5257
2008-01-01,90.0046
2008-02-01,89.0058
2008-03-01,87.215
2008-04-01,86.8333
2008-05-01,87.1631
2008-06-01,87.7433
2008-07-01,87.3428
2008-08-01,89.6887
2008-09-01,92.0434
2008-10-01,98.0094
2008-11-01,99.1796
2008-12-01,97.5777
2009-01-01,98.4978
2009-02-01,101.2777
2009-03-01,101.5551
2009-04-01,98.9088
2009-05-01,95.7544
2009-06-01,94.8371
2009-07-01,94.3994
2009-08-01,93.1647
2009-09-01,92.516
2009-10-01,91.2633
2009-11-01,90.7882
2009-12-01,91.134
2010-01-01,91.0113
2010-02-01,92.2001
2010-03-01,91.307
2010-04-01,90.6567
2010-05-01,93.2821
2010-06-01,93.6541
2010-07-01,92.0368
2010-08-01,91.2327
2010-09-01,90.2473
2010-10-01,87.6975
2010-11-01,87.813
2010-12-01,88.5156
2011-01-01,87.4314
2011-02-01,86.8075
2011-03-01,86.0335
2011-04-01,84.5775
2011-05-01,84.669
2011-06-01,84.5171
2011-07-01,83.9181
2011-08-01,84.5805
2011-09-01,87.2829
2011-10-01,87.9434
2011-11-01,88.5596
2011-12-01,89.3626
2012-01-01,88.6911
2012-02-01,87.2421
2012-03-01,87.6616
2012-04-01,87.8891
2012-05-01,89.291
2012-06-01,90.5237
2012-07-01,89.9635
2012-08-01,89.3097
2012-09-01,87.9956
2012-10-01,87.862
2012-11-01,88.2712
2012-12-01,87.4993
2013-01-01,87.4151
2013-02-01,88.2934
2013-03-01,88.7804
2013-04-01,88.0315
2013-05-01,88.4325
2013-06-01,89.1504
2013-07-01,89.7055
2013-08-01,89.6156
2013-09-01,89.1652
2013-10-01,88.1608
2013-11-01,88.9136
2013-12-01,89.0915
2014-01-01,89.9847
2014-02-01,90.1132
2014-03-01,89.9381
2014-04-01,89.4064
2014-05-01,89.0903
2014-06-01,89.1931
2014-07-01,88.9493
2014-08-01,89.7629
2014-09-01,91.0855
2014-10-01,92.1961
2014-11-01,93.5413
2014-12-01,95.4132
2015-01-01,97.1631
2015-02-01,98.5221
2015-03-01,100.4929
2015-04-01,99.5796
2015-05-01,98.7777
2015-06-01,99.5688
2015-07-01,101.3881
2015-08-01,103.0204
2015-09-01,103.6137
2015-10-01,102.6589
2015-11-01,104.3576
2015-12-01,105.1564
2016-01-01,107.4507
2016-02-01,106.1185
2016-03-01,103.9727
2016-04-01,102.4939
2016-05-01,103.5629
2016-06-01,104.0124
2016-07-01,104.6885
2016-08-01,103.8655
2016-09-01,104.7519
2016-10-01,105.8193
2016-11-01,108.2387
2016-12-01,109.9566
2017-01-01,109.741
2017-02-01,108.3447
2017-03-01,107.643
2017-04-01,106.6414
2017-05-01,106.0076
2017-06-01,104.5973
2017-07-01,102.8722
2017-08-01,101.9149
2017-09-01,101.2806
2017-10-01,103.082
2017-11-01,103.2524
2017-12-01,102.9402
2018-01-01,100.7851
2018-02-01,100.2085
2018-03-01,100.4215
2018-04-01,100.5398
2018-05-01,103.5158
2018-06-01,105.0682
2018-07-01,105.0457
2018-08-01,105.6219
2018-09-01,105.8258
2018-10-01,106.553
2018-11-01,107.7341
2018-12-01,107.7834
2019-01-01,106.1347
2019-02-01,106.1721
2019-03-01,106.5446
2019-04-01,106.6761
2019-05-01,107.4405
2019-06-01,106.7952
2019-07-01,106.5229
2019-08-01,108.3844
2019-09-01,108.5786
2019-10-01,108.0547
2019-11-01,107.8614
2019-12-01,107.2283
2020-01-01,106.6311
2020-02-01,107.9814
2020-03-01,111.8287
2020-04-01,113.4168
2020-05-01,112.7341
2020-06-01,110.0856
2020-07-01,109.4308
2020-08-01,108.1889
2020-09-01,107.7764
2020-10-01,107.2355
2020-11-01,105.9291
2020-12-01,103.9977
2021-01-01,103.3433
2021-02-01,104.018
2021-03-01,105.4659
2021-04-01,105.1724
2021-05-01,104.2247
2021-06-01,105.0971
2021-07-01,106.5289
2021-08-01,106.9307
2021-09-01,107.0951
2021-10-01,108.0264
2021-11-01,109.1959
2021-12-01,110.4104
2022-01-01,109.8912
2022-02-01,109.981
2022-03-01,111.2585
2022-04-01,111.6661
2022-05-01,114.2695
2022-06-01,115.1354
2022-07-01,117.0496
2022-08-01,116.6419
2022-09-01,119.5248
2022-10-01,121.1596
2022-11-01,118.75
2022-12-01,116.312
2023-01-01,114.2407
2023-02-01,114.9701
2023-03-01,115.1963
2023-04-01,113.8717
